fecha,producto,cantidad,precio_unitario,total,dia_semana
2024-10-10,Producto_8,2.0,27.29,54.58,Jueves
2024-10-20,Producto_5,5.0,12.42,62.1,Domingo
2024-10-07,Producto_1,2.0,37.04,74.08,Lunes
2024-10-15,Producto_7,0.0,1.93,0.0,Martes
2024-10-13,Producto_5,0.0,31.3,0.0,Domingo
2024-10-15,Producto_10,19.0,32.79,623.01,Martes
2024-10-09,Producto_4,3.0,6.69,20.07,Miércoles
2024-10-17,Producto_1,0.0,41.22,0.0,Jueves
2024-10-30,Producto_9,9.0,30.95,278.55,Miércoles
2024-10-23,Producto_6,0.0,4.13,0.0,Miércoles
2024-10-15,Producto_4,11.0,6.59,72.49,Martes
2024-11-02,Producto_7,0.0,31.17,0.0,Sábado
2024-10-23,Producto_9,19.0,10.93,207.67,Miércoles
2024-10-28,Producto_7,11.0,41.96,461.56,Lunes
2024-10-24,Producto_7,14.0,20.7,289.8,Jueves
2024-10-24,Producto_4,8.0,34.52,276.16,Jueves
2024-10-20,Producto_3,2.0,16.76,33.52,Domingo
2024-11-04,Producto_7,0.0,11.45,0.0,Lunes
2024-10-31,Producto_7,17.0,2.56,43.52,Jueves
2024-10-28,Producto_4,0.0,14.42,0.0,Lunes
2024-10-15,Producto_5,8.0,9.23,73.84,Martes
2024-10-31,Producto_2,13.0,9.09,118.17,Jueves
2024-10-24,Producto_7,0.0,29.52,0.0,Jueves
2024-10-09,Producto_4,4.0,39.76,159.04,Miércoles
2024-10-28,Producto_9,17.0,19.43,330.31,Lunes
2024-10-25,Producto_10,5.0,44.1,220.5,Viernes
2024-10-20,Producto_5,0.0,1.35,0.0,Domingo
2024-10-20,Producto_5,0.0,35.63,0.0,Domingo
2024-10-30,Producto_9,3.0,14.9,44.7,Miércoles
2024-10-22,Producto_5,11.0,39.82,438.02,Martes
2024-11-03,Producto_7,14.0,7.22,101.08,Domingo
2024-10-17,Producto_4,0.0,14.28,0.0,Jueves
2024-10-15,Producto_2,6.0,12.72,76.32000000000001,Martes
2024-10-07,Producto_3,15.0,34.89,523.35,Lunes
2024-11-03,Producto_3,0.0,36.14,0.0,Domingo
2024-10-06,Producto_5,0.0,5.31,0.0,Domingo
2024-10-05,Producto_2,5.0,15.76,78.8,Sábado
2024-10-17,Producto_8,1.0,28.33,28.33,Jueves
2024-10-07,Producto_10,1.0,49.34,49.34,Lunes
2024-10-14,Producto_8,18.0,31.33,563.9399999999999,Lunes
2024-10-05,Producto_5,18.0,49.35,888.3000000000001,Sábado
2024-10-21,Producto_10,1.0,23.75,23.75,Lunes
2024-10-20,Producto_8,2.0,11.2,22.4,Domingo
2024-10-30,Producto_4,0.0,6.52,0.0,Miércoles
2024-10-22,Producto_6,0.0,42.35,0.0,Martes
2024-10-10,Producto_1,0.0,25.38,0.0,Jueves
2024-10-11,Producto_3,12.0,46.21,554.52,Viernes
2024-10-14,Producto_1,8.0,18.85,150.8,Lunes
2024-10-30,Producto_9,11.0,13.32,146.52,Miércoles
2024-10-25,Producto_1,18.0,44.61,802.98,Viernes
2024-10-16,Producto_3,0.0,6.12,0.0,Miércoles
2024-10-28,Producto_2,2.0,27.33,54.66,Lunes
2024-10-31,Producto_5,11.0,2.42,26.619999999999997,Jueves
2024-10-29,Producto_5,1.0,4.47,4.47,Martes
2024-10-06,Producto_3,12.0,22.8,273.6,Domingo
2024-10-22,Producto_8,17.0,21.53,366.01,Martes
2024-10-16,Producto_1,0.0,45.02,0.0,Miércoles
2024-10-20,Producto_4,5.0,6.4,32.0,Domingo
2024-10-16,Producto_2,0.0,12.62,0.0,Miércoles
2024-10-10,Producto_3,8.0,10.8,86.4,Jueves
2024-10-11,Producto_1,14.0,4.6,64.39999999999999,Viernes
2024-10-20,Producto_8,0.0,3.66,0.0,Domingo
2024-10-07,Producto_4,0.0,11.59,0.0,Lunes
2024-10-09,Producto_6,5.0,9.72,48.6,Miércoles
2024-10-14,Producto_5,5.0,18.57,92.85,Lunes
2024-10-19,Producto_8,0.0,17.46,0.0,Sábado
2024-10-08,Producto_6,0.0,6.12,0.0,Martes
2024-10-19,Producto_8,3.0,6.44,19.32,Sábado
2024-10-05,Producto_1,14.0,21.49,300.85999999999996,Sábado
2024-10-10,Producto_6,9.0,11.77,105.92999999999999,Jueves
2024-10-24,Producto_2,0.0,8.68,0.0,Jueves
2024-10-12,Producto_3,0.0,47.69,0.0,Sábado
2024-10-09,Producto_1,0.0,29.33,0.0,Miércoles
2024-11-01,Producto_5,1.0,12.26,12.26,Viernes
2024-10-27,Producto_7,0.0,26.57,0.0,Domingo
2024-10-28,Producto_2,16.0,11.61,185.76,Lunes
2024-11-02,Producto_9,16.0,23.68,378.88,Sábado
2024-10-07,Producto_8,2.0,4.85,9.7,Lunes
2024-10-27,Producto_3,9.0,13.14,118.26,Domingo
2024-10-13,Producto_4,7.0,11.9,83.3,Domingo
2024-11-04,Producto_5,20.0,47.37,947.4,Lunes
2024-11-01,Producto_7,8.0,45.01,360.08,Viernes
2024-10-23,Producto_1,0.0,3.17,0.0,Miércoles
2024-10-13,Producto_2,0.0,36.94,0.0,Domingo
2024-10-22,Producto_4,0.0,21.86,0.0,Martes
2024-10-31,Producto_7,2.0,40.68,81.36,Jueves
2024-10-17,Producto_8,0.0,5.8,0.0,Jueves
2024-10-08,Producto_4,18.0,5.07,91.26,Martes
2024-10-17,Producto_1,7.0,34.96,244.72,Jueves
2024-10-27,Producto_4,10.0,11.68,116.8,Domingo
2024-10-23,Producto_8,10.0,12.71,127.10000000000001,Miércoles
2024-10-22,Producto_2,0.0,1.78,0.0,Martes
2024-10-18,Producto_9,17.0,8.93,151.81,Viernes
2024-10-24,Producto_4,5.0,28.95,144.75,Jueves
2024-10-20,Producto_8,15.0,48.84,732.6,Domingo
2024-10-26,Producto_7,7.0,7.79,54.53,Sábado
2024-10-11,Producto_5,6.0,10.06,60.36,Viernes
2024-10-12,Producto_6,15.0,31.71,475.65000000000003,Sábado
2024-10-08,Producto_3,0.0,1.07,0.0,Martes
2024-10-12,Producto_1,18.0,19.86,357.48,Sábado
2024-10-10,Producto_9,2.0,27.02,54.04,Jueves
2024-10-30,Producto_9,19.0,37.89,719.91,Miércoles
2024-10-19,Producto_2,2.0,31.01,62.02,Sábado
2024-10-25,Producto_5,0.0,11.15,0.0,Viernes
2024-10-16,Producto_8,5.0,31.4,157.0,Miércoles
2024-10-13,Producto_5,1.0,46.68,46.68,Domingo
2024-10-23,Producto_4,16.0,45.59,729.44,Miércoles
2024-11-04,Producto_6,16.0,3.53,56.48,Lunes
2024-10-09,Producto_1,15.0,23.8,357.0,Miércoles
2024-10-06,Producto_4,20.0,4.3,86.0,Domingo
2024-11-02,Producto_2,0.0,35.54,0.0,Sábado
2024-10-28,Producto_4,7.0,38.91,272.37,Lunes
2024-10-16,Producto_7,12.0,17.41,208.92000000000002,Miércoles
2024-10-23,Producto_6,20.0,32.8,656.0,Miércoles
2024-10-23,Producto_1,3.0,37.86,113.58,Miércoles
2024-10-19,Producto_3,0.0,35.44,0.0,Sábado
2024-10-05,Producto_5,0.0,38.28,0.0,Sábado
2024-10-05,Producto_10,19.0,45.0,855.0,Sábado
2024-10-30,Producto_2,10.0,21.72,217.2,Miércoles
2024-10-21,Producto_7,3.0,19.27,57.81,Lunes
2024-10-06,Producto_1,0.0,24.04,0.0,Domingo
2024-10-26,Producto_1,0.0,41.44,0.0,Sábado
2024-10-10,Producto_10,19.0,23.15,439.84999999999997,Jueves
2024-10-19,Producto_8,10.0,33.99,339.90000000000003,Sábado
2024-10-16,Producto_10,0.0,48.93,0.0,Miércoles
2024-11-03,Producto_3,20.0,10.23,204.60000000000002,Domingo
2024-10-15,Producto_6,0.0,5.28,0.0,Martes
2024-10-27,Producto_4,10.0,4.77,47.699999999999996,Domingo
2024-10-24,Producto_3,0.0,6.49,0.0,Jueves
2024-10-23,Producto_8,14.0,8.37,117.17999999999999,Miércoles
2024-10-19,Producto_2,3.0,47.65,142.95,Sábado
2024-10-06,Producto_6,10.0,46.65,466.5,Domingo
2024-10-26,Producto_1,18.0,21.59,388.62,Sábado
2024-10-18,Producto_1,11.0,2.05,22.549999999999997,Viernes
2024-10-24,Producto_6,19.0,2.08,39.52,Jueves
2024-10-09,Producto_3,11.0,41.91,461.01,Miércoles
2024-10-16,Producto_9,16.0,17.46,279.36,Miércoles
2024-10-21,Producto_2,0.0,33.13,0.0,Lunes
2024-10-17,Producto_3,11.0,24.82,273.02,Jueves
2024-10-19,Producto_4,0.0,23.44,0.0,Sábado
2024-11-02,Producto_6,5.0,45.02,225.10000000000002,Sábado
2024-10-25,Producto_9,12.0,39.67,476.04,Viernes
2024-10-10,Producto_6,11.0,19.22,211.42,Jueves
2024-10-27,Producto_8,0.0,42.43,0.0,Domingo
2024-10-09,Producto_4,4.0,14.93,59.72,Miércoles
2024-10-27,Producto_1,2.0,31.31,62.62,Domingo
2024-10-05,Producto_7,8.0,27.23,217.84,Sábado
2024-10-20,Producto_6,0.0,9.59,0.0,Domingo
2024-10-11,Producto_3,4.0,45.33,181.32,Viernes
2024-10-11,Producto_5,0.0,8.9,0.0,Viernes
2024-10-21,Producto_1,4.0,49.69,198.76,Lunes
2024-10-08,Producto_8,7.0,22.6,158.20000000000002,Martes
2024-11-01,Producto_8,10.0,11.05,110.5,Viernes
2024-10-23,Producto_9,0.0,33.61,0.0,Miércoles
2024-10-28,Producto_5,2.0,8.25,16.5,Lunes
2024-10-28,Producto_9,17.0,48.8,829.5999999999999,Lunes
2024-10-22,Producto_8,2.0,6.95,13.9,Martes
2024-10-19,Producto_4,0.0,9.38,0.0,Sábado
2024-10-13,Producto_10,0.0,47.44,0.0,Domingo
2024-10-28,Producto_3,7.0,8.65,60.550000000000004,Lunes
2024-10-23,Producto_9,18.0,27.76,499.68,Miércoles
2024-10-09,Producto_6,4.0,32.71,130.84,Miércoles
2024-10-18,Producto_6,0.0,44.9,0.0,Viernes
2024-10-20,Producto_8,0.0,37.95,0.0,Domingo
2024-10-29,Producto_5,11.0,33.68,370.48,Martes
2024-10-27,Producto_10,10.0,36.7,367.0,Domingo
2024-10-12,Producto_9,20.0,17.6,352.0,Sábado
2024-10-06,Producto_3,2.0,24.47,48.94,Domingo
2024-10-12,Producto_2,4.0,7.1,28.4,Sábado
2024-10-12,Producto_9,14.0,2.21,30.939999999999998,Sábado
2024-10-27,Producto_3,0.0,11.8,0.0,Domingo
2024-10-29,Producto_8,0.0,16.99,0.0,Martes
2024-10-09,Producto_5,3.0,10.56,31.68,Miércoles
2024-10-31,Producto_5,3.0,39.28,117.84,Jueves
2024-11-01,Producto_9,15.0,10.59,158.85,Viernes
2024-10-14,Producto_6,20.0,42.62,852.4,Lunes
2024-10-20,Producto_8,0.0,47.92,0.0,Domingo
2024-10-11,Producto_1,11.0,20.33,223.63,Viernes
2024-10-05,Producto_9,3.0,30.56,91.67999999999999,Sábado
2024-10-20,Producto_7,6.0,3.75,22.5,Domingo
2024-10-25,Producto_3,20.0,20.48,409.6,Viernes
2024-10-07,Producto_1,4.0,21.95,87.8,Lunes
2024-10-08,Producto_10,0.0,1.6,0.0,Martes
2024-10-30,Producto_6,19.0,16.1,305.90000000000003,Miércoles
2024-10-06,Producto_10,6.0,28.49,170.94,Domingo
2024-10-23,Producto_4,0.0,44.5,0.0,Miércoles
2024-10-17,Producto_6,19.0,21.36,405.84,Jueves
2024-10-19,Producto_2,0.0,9.03,0.0,Sábado
2024-10-20,Producto_9,19.0,44.99,854.8100000000001,Domingo
2024-11-03,Producto_7,0.0,21.3,0.0,Domingo
2024-10-23,Producto_4,6.0,30.3,181.8,Miércoles
2024-10-11,Producto_9,3.0,15.86,47.58,Viernes
2024-11-01,Producto_8,13.0,26.74,347.62,Viernes
2024-10-21,Producto_9,2.0,46.72,93.44,Lunes
2024-11-04,Producto_3,19.0,19.41,368.79,Lunes
2024-10-17,Producto_5,19.0,9.57,181.83,Jueves
2024-10-24,Producto_6,0.0,28.83,0.0,Jueves
2024-10-27,Producto_7,0.0,10.76,0.0,Domingo
2024-10-27,Producto_6,0.0,15.18,0.0,Domingo
2024-10-20,Producto_2,5.0,41.32,206.6,Domingo
2024-10-25,Producto_2,5.0,29.68,148.4,Viernes
2024-10-20,Producto_9,18.0,37.25,670.5,Domingo
2024-10-22,Producto_2,4.0,39.77,159.08,Martes
2024-10-24,Producto_1,0.0,15.71,0.0,Jueves
2024-10-23,Producto_3,13.0,32.19,418.46999999999997,Miércoles
2024-10-30,Producto_3,0.0,33.63,0.0,Miércoles
2024-10-17,Producto_1,0.0,9.79,0.0,Jueves
2024-10-09,Producto_4,12.0,32.59,391.08000000000004,Miércoles
2024-10-27,Producto_2,5.0,7.88,39.4,Domingo
2024-10-18,Producto_8,0.0,48.56,0.0,Viernes
2024-10-23,Producto_4,14.0,18.73,262.22,Miércoles
2024-10-10,Producto_2,0.0,22.37,0.0,Jueves
2024-10-31,Producto_1,14.0,34.61,484.53999999999996,Jueves
2024-11-04,Producto_10,18.0,41.1,739.8000000000001,Lunes
2024-10-20,Producto_7,6.0,36.91,221.45999999999998,Domingo
2024-10-07,Producto_8,0.0,3.34,0.0,Lunes
2024-10-19,Producto_9,9.0,8.16,73.44,Sábado
2024-10-25,Producto_10,19.0,34.97,664.43,Viernes
2024-10-26,Producto_10,0.0,3.59,0.0,Sábado
2024-10-08,Producto_5,0.0,32.18,0.0,Martes
2024-10-23,Producto_1,9.0,3.39,30.51,Miércoles
2024-10-30,Producto_6,17.0,32.31,549.27,Miércoles
2024-10-09,Producto_4,0.0,10.5,0.0,Miércoles
2024-10-09,Producto_10,0.0,38.47,0.0,Miércoles
2024-10-21,Producto_2,0.0,9.19,0.0,Lunes
2024-10-27,Producto_1,11.0,16.49,181.39,Domingo
2024-10-18,Producto_4,10.0,40.19,401.9,Viernes
2024-10-10,Producto_8,5.0,35.2,176.0,Jueves
2024-11-04,Producto_2,19.0,27.19,516.61,Lunes
2024-10-24,Producto_8,0.0,8.04,0.0,Jueves
2024-10-05,Producto_1,10.0,14.79,147.89999999999998,Sábado
2024-10-17,Producto_6,0.0,21.19,0.0,Jueves
2024-10-15,Producto_9,9.0,8.99,80.91,Martes
2024-10-11,Producto_7,9.0,25.67,231.03000000000003,Viernes
2024-10-25,Producto_6,0.0,39.96,0.0,Viernes
2024-10-20,Producto_1,15.0,34.79,521.85,Domingo
2024-10-21,Producto_10,8.0,42.46,339.68,Lunes
2024-10-23,Producto_5,2.0,35.41,70.82,Miércoles
2024-10-21,Producto_9,5.0,21.45,107.25,Lunes
2024-10-31,Producto_1,14.0,6.71,93.94,Jueves
2024-10-15,Producto_2,0.0,1.85,0.0,Martes
2024-10-25,Producto_5,0.0,34.86,0.0,Viernes
2024-10-16,Producto_2,4.0,22.65,90.6,Miércoles
2024-10-08,Producto_4,10.0,26.63,266.3,Martes
2024-11-02,Producto_9,8.0,9.44,75.52,Sábado
2024-10-28,Producto_2,16.0,37.48,599.68,Lunes
2024-10-15,Producto_2,1.0,7.31,7.31,Martes
2024-10-27,Producto_4,0.0,34.71,0.0,Domingo
2024-10-23,Producto_9,17.0,11.28,191.76,Miércoles
2024-10-21,Producto_7,0.0,21.82,0.0,Lunes
2024-10-05,Producto_4,11.0,6.47,71.17,Sábado
2024-10-17,Producto_4,0.0,5.36,0.0,Jueves
2024-10-21,Producto_9,0.0,10.62,0.0,Lunes
2024-10-30,Producto_4,17.0,6.94,117.98,Miércoles
2024-10-31,Producto_10,0.0,23.99,0.0,Jueves
2024-10-14,Producto_3,1.0,3.12,3.12,Lunes
2024-10-12,Producto_9,1.0,1.5,1.5,Sábado
2024-11-02,Producto_9,15.0,7.07,106.05000000000001,Sábado
2024-10-23,Producto_7,9.0,29.79,268.11,Miércoles
2024-11-02,Producto_2,1.0,33.86,33.86,Sábado
2024-10-20,Producto_10,0.0,2.31,0.0,Domingo
2024-11-04,Producto_6,0.0,14.59,0.0,Lunes
2024-10-19,Producto_8,19.0,18.26,346.94000000000005,Sábado
2024-11-02,Producto_7,10.0,39.26,392.59999999999997,Sábado
2024-10-16,Producto_2,15.0,25.74,386.09999999999997,Miércoles
2024-10-15,Producto_3,11.0,41.16,452.76,Martes
2024-10-23,Producto_3,2.0,26.91,53.82,Miércoles
2024-10-28,Producto_9,9.0,48.25,434.25,Lunes
2024-10-21,Producto_7,3.0,37.95,113.85000000000001,Lunes
2024-10-31,Producto_9,6.0,7.53,45.18,Jueves
2024-10-30,Producto_6,0.0,46.1,0.0,Miércoles
2024-10-14,Producto_3,15.0,24.26,363.90000000000003,Lunes
2024-10-06,Producto_9,1.0,10.07,10.07,Domingo
2024-10-20,Producto_10,9.0,6.26,56.339999999999996,Domingo
